ADDRESS,AGE,DEBT,DEFAULT,DTI,EDUCATION,EMPLOY,INCOME
3,31,3.525,0,14.1,0,5,25
11,35,7.4,0,18.5,0,15,40
16,35,13.034,0,13.3,0,10,98
17,46,15.984,0,11.1,0,22,144
3,33,11.076,1,21.3,0,13,52
3,35,1.995,0,1.9,0,13,105
1,35,1.659,0,7.9,0,1,21
13,38,1.89,0,9,0,5,21
1,41,7.488,0,7.8,0,19,96
19,38,1.98,0,4.5,0,18,44
14,34,5.148,0,13.2,1,2,39
25,51,3.608,0,4.4,1,16,82
2,34,3.135,0,9.5,0,10,33
1,47,7.35,0,24.5,0,15,30
6,34,4.212,0,5.4,0,8,78
7,27,2.142,0,11.9,0,8,18
11,52,4.608,1,19.2,0,9,24
6,39,1.75,0,5,0,9,35
0,33,1.408,0,6.4,0,7,22
1,34,1.512,0,7.2,0,0,21
7,31,8.614,1,14.6,1,9,59
9,28,2.432,0,15.2,0,2,16
16,39,1.665,0,3.7,0,19,45
23,51,9.12,0,7.6,0,22,120
1,22,0.192,0,1.2,0,4,16
4,27,2.704,0,10.4,1,6,26
10,32,7.98,0,21,0,16,38
7,28,2.736,0,7.2,0,6,38
0,27,2.06,1,10.3,0,1,20
6,26,3.264,1,13.6,0,2,24
0,32,0.864,0,2.4,0,14,36
11,30,0.629,1,3.7,0,0,17
1,39,3.382,0,8.9,0,13,38
6,31,1.344,1,4.8,0,11,28
2,34,9.633,1,24.7,0,15,39
3,31,5.166,0,12.6,0,8,41
7,29,2.6,0,10.4,0,1,25
0,29,3.475,0,13.9,0,9,25
16,35,2.28,0,7.6,0,9,30
7,29,1.92,0,6,0,11,32
16,38,4.994,1,22.7,0,2,22
15,35,1.224,0,3.4,0,16,36
5,29,2.196,0,6.1,0,11,36
4,23,1.496,0,4.4,0,3,34
8,33,1.76,0,5.5,1,9,32
25,51,4.452,0,2.8,0,19,159
2,24,0.546,0,2.6,0,4,21
12,31,4.802,1,9.8,0,10,49
14,45,2.808,0,5.4,0,10,52
1,29,1.53,0,9,0,3,17
10,34,3.42,0,17.1,0,0,20
5,25,1.35,1,5,0,4,27
2,37,1.064,0,1.9,0,20,56
18,47,32.637,1,25.3,0,29,129
24,43,5.184,0,9.6,0,6,54
19,47,4.455,0,5.5,0,22,81
2,24,1.092,0,5.2,0,6,21
1,27,4.725,0,6.3,1,5,75
4,25,0.216,0,1.2,0,9,18
12,36,6.468,0,14.7,1,11,44
20,39,11.058,0,19.4,0,16,57
1,26,1.775,0,7.1,0,10,25
19,41,2.525,0,10.1,0,4,25
15,39,16.26,1,27.1,0,19,60
8,37,6.534,0,12.1,0,18,54
0,29,2.016,1,14.4,0,2,14
9,42,3.596,0,11.6,0,6,31
6,31,3.219,0,11.1,1,1,29
15,36,2.941,0,17.3,0,4,17
4,39,10.4,0,20,0,16,52
2,23,1.541,0,6.7,1,0,23
15,39,2.31,0,7,0,4,33
1,27,1.24,1,3.1,1,4,40
4,24,1.2,0,5,0,8,24
4,27,4.95,1,11,1,3,45
22,41,0.784,0,1.6,0,16,49
8,38,1.863,1,8.1,0,0,23
12,40,5.74,1,16.4,0,5,35
12,54,31.8,1,26.5,0,25,120
6,40,15.486,0,17.4,0,12,89
4,40,1.184,0,3.7,0,2,32
8,29,2.48,0,8,0,1,31
6,30,2.76,0,12,0,8,23
1,29,0.198,0,1.1,0,1,18
3,29,1.2,1,2.4,1,3,50
4,28,1.025,1,2.5,1,2,41
5,28,3.952,0,10.4,1,0,38
9,39,12.727,0,14.3,0,16,89
2,32,1.749,0,3.3,0,11,53
16,36,6.622,0,15.4,0,7,43
12,39,3.198,0,8.2,0,20,39
8,28,9.306,1,19.8,1,6,47
2,28,3.976,1,14.2,0,4,28
19,46,3.782,0,12.2,0,6,31
8,30,0.975,0,6.5,0,4,15
19,39,1.568,0,4.9,0,15,32
3,40,35.2,1,16,1,5,220
4,44,9.916,0,13.4,0,18,74
8,30,3.154,1,16.6,0,0,19
0,24,0.817,0,4.3,0,3,19
13,32,3.616,0,11.3,0,10,32
8,29,0.39,0,2.6,0,3,15
1,40,1.368,0,3.8,0,2,36
21,41,0.301,0,0.7,0,8,43
3,22,3.162,0,18.6,0,1,17
8,38,0.408,0,1.2,0,10,34
13,37,5.27,0,8.5,0,6,62
6,41,11.147,1,15.7,1,18,71
6,41,8.12,1,14.5,1,7,56
15,39,5.082,1,23.1,0,2,22
2,24,2.415,1,16.1,0,0,15
10,32,11.73,0,23,1,9,51
1,21,2.002,0,7.7,1,0,26
7,29,0.621,0,2.3,0,13,27
3,35,0.656,0,0.8,0,14,82
7,29,3.801,0,18.1,0,6,21
22,41,2.01,0,6.7,0,2,30
18,37,2.322,1,12.9,0,0,18
13,32,0.893,0,1.9,0,3,47
12,36,1.62,0,8.1,1,5,20
9,39,0.924,0,2.1,0,18,44
9,36,7.504,0,11.2,0,18,67
4,46,2.277,0,2.3,1,22,99
11,34,4.896,0,9.6,0,13,51
4,27,2.366,0,9.1,0,7,26
11,43,1.485,0,3.3,0,8,45
8,33,29.736,1,41.3,0,14,72
17,39,1.414,0,1.4,0,20,101
4,29,0.425,0,2.5,0,1,17
15,34,2.56,0,6.4,1,7,40
0,26,1.029,0,4.9,0,1,21
2,31,2.88,0,4.8,0,15,60
6,26,0.648,0,2.7,0,10,24
7,28,3.465,0,7.7,0,12,45
20,48,15.4,1,30.8,0,13,50
12,39,7.36,1,16,0,2,46
3,37,0.925,0,3.7,0,3,25
0,52,6.58,1,9.4,1,9,70
11,48,5.751,0,21.3,0,3,27
3,26,1.122,0,5.1,0,7,22
0,46,3.906,0,3.1,1,15,126
10,31,1.127,0,4.9,0,7,23
8,34,3.416,0,6.1,0,13,56
4,40,3.42,0,3.6,0,22,95
5,24,1.024,1,6.4,1,2,16
14,33,1.364,0,3.1,0,2,44
29,53,13.494,1,17.3,1,5,78
1,47,10.452,1,20.1,1,9,52
5,35,4.16,0,13,0,5,32
8,34,4.76,0,17,0,14,28
5,49,3.939,0,10.1,0,11,39
7,26,2.604,0,9.3,0,0,28
2,23,1.536,1,9.6,0,2,16
4,23,1.827,0,8.7,0,0,21
13,38,0.896,0,1.6,0,4,56
2,28,3.071,0,8.3,0,5,37
8,30,19.305,1,29.7,1,0,65
10,34,5.236,0,15.4,0,18,34
14,50,7.881,0,11.1,0,16,71
2,29,2.68,0,6.7,0,12,40
9,42,4.224,0,6.6,1,0,64
12,31,1.35,0,5,0,13,27
4,39,1.488,0,4.8,0,10,31
26,45,3.96,0,3,0,21,132
24,45,10.647,0,11.7,0,22,91
17,36,3.021,0,5.7,0,14,53
6,25,2.904,1,12.1,1,0,24
7,29,6.148,1,21.2,0,1,29
4,30,3.584,0,6.4,0,8,56
1,31,1.08,0,4.5,0,1,24
2,43,1.334,0,4.6,0,4,29
4,32,13.566,1,23.8,0,11,57
7,47,15.05,0,30.1,0,19,50
15,46,3.108,1,14.8,0,1,21
10,43,3.403,0,4.1,0,16,83
7,48,1.68,0,7,0,3,24
7,30,1.708,0,2.8,1,8,61
4,23,5.888,1,18.4,1,0,32
0,36,0.512,0,1.6,1,8,32
1,20,0.391,0,2.3,1,0,17
7,43,0.356,0,0.4,0,16,89
1,23,1.125,1,4.5,0,2,25
2,41,15.58,0,20.5,0,21,76
5,34,17.068,1,25.1,0,12,68
5,50,1.728,0,4.8,0,11,36
4,40,4.224,0,6.6,0,9,64
8,29,2.838,1,12.9,0,0,22
16,39,10.472,0,18.7,0,9,56
2,24,2.394,0,5.7,0,1,42
5,27,0.176,0,1.1,0,0,16
14,40,10.362,0,6.6,1,18,157
2,32,1.665,0,3.7,0,8,45
12,39,1.961,0,3.7,0,16,53
1,40,14.6,0,14.6,0,22,100
11,32,3.822,0,9.1,0,10,42
1,39,14.175,0,18.9,0,23,75
3,24,6.069,1,28.9,0,3,21
14,43,28.99,1,6.5,1,18,446
20,56,8.85,0,15,0,11,59
9,32,1.035,0,4.5,1,5,23
12,42,2.55,0,10.2,0,7,25
13,46,5.676,1,13.2,1,3,43
2,31,3.608,1,16.4,0,2,22
16,43,6.292,0,2.6,0,25,242
9,28,2.53,0,11.5,0,6,22
17,39,5.031,0,12.9,1,11,39
8,39,3.081,0,7.9,0,0,39
14,37,5.313,1,16.1,1,1,33
11,30,2.04,0,12,0,0,17
16,37,10.443,0,5.9,1,9,177
3,22,2.45,0,17.5,0,4,14
26,50,3.718,0,14.3,0,1,26
2,30,0.836,0,4.4,0,10,19
0,39,0.84,0,4,0,8,21
2,21,2.625,1,12.5,0,0,21
2,31,0.728,0,2.6,1,9,28
1,31,1.74,0,5.8,0,9,30
23,48,6.69,0,22.3,0,0,30
1,28,3.808,0,23.8,0,4,16
26,47,38.896,1,17.6,1,16,221
1,27,1.496,0,4.4,0,6,34
10,29,11.96,0,18.4,0,6,65
0,21,0.9,1,4.5,0,2,20
5,29,3.96,1,19.8,0,7,20
3,24,1.914,1,6.6,1,0,29
3,44,3.007,0,9.7,0,12,31
0,22,0.792,0,4.4,0,1,18
0,38,1.416,0,2.4,0,13,59
16,52,5.852,0,7.7,0,12,76
2,25,2.934,1,16.3,0,3,18
5,25,2.398,0,10.9,0,5,22
21,51,19.09,0,11.5,0,27,166
16,38,9.57,0,16.5,0,21,58
20,44,1.716,0,5.2,0,9,33
3,24,2.522,1,9.7,0,2,26
3,34,2.409,0,7.3,0,5,33
2,25,1.17,0,4.5,0,6,26
17,45,9.87,1,10.5,1,5,94
10,34,1.45,0,5.8,0,4,25
8,27,1.311,1,5.7,1,2,23
13,33,11.913,1,20.9,0,10,57
16,35,3.3,1,15,0,0,22
31,50,0.66,0,1.1,0,15,60
13,33,1.512,0,3.6,0,13,42
13,41,22.932,1,25.2,1,13,91
2,28,9.324,1,33.3,0,0,28
14,38,10.08,1,16,1,12,63
2,25,2.848,1,17.8,0,3,16
9,47,2.343,1,7.1,0,4,33
9,30,7.056,0,7.2,0,12,98
5,44,11.18,0,13,0,12,86
2,25,3.402,1,18.9,0,0,18
0,41,7.02,1,19.5,0,6,36
1,22,1.386,0,7.7,1,0,18
11,35,6.88,1,17.2,0,3,40
23,42,14.82,0,7.8,1,6,190
19,38,3.381,0,14.7,0,3,23
3,23,3.366,1,18.7,0,1,18
5,28,5.97,0,19.9,1,2,30
25,52,4.183,0,4.7,0,19,89
2,25,0.7,0,3.5,0,9,20
4,28,2.352,0,14.7,0,1,16
11,43,5.925,0,7.5,0,19,79
1,24,4.584,0,19.1,0,3,24
7,34,4.784,0,9.2,1,13,52
9,29,1.05,0,4.2,0,6,25
9,31,1.743,0,8.3,0,6,21
1,42,4.128,1,8.6,0,14,48
1,49,7.65,0,15,0,11,51
9,39,10.439,0,14.3,0,22,73
19,45,0.924,0,4.2,1,0,22
22,41,0.928,0,2.9,0,7,32
0,29,0.736,0,1.6,0,9,46
5,35,5.738,0,15.1,1,7,38
6,27,1.7,0,6.8,0,5,25
7,28,0.779,0,4.1,0,4,19
22,48,2.112,0,3.2,0,17,66
5,24,1.08,0,6,0,2,18
12,31,1.386,0,4.2,0,6,33
9,43,4.416,0,6.4,0,10,69
10,42,2.544,0,10.6,0,3,24
14,51,19.422,0,7.8,0,31,249
3,22,4.389,1,23.1,0,4,19
10,37,3.627,1,11.7,0,6,31
3,22,3.45,1,13.8,1,1,25
13,49,3.38,1,16.9,0,2,20
8,29,2.46,0,8.2,0,9,30
16,42,2.91,0,9.7,0,2,30
0,34,8.844,0,13.2,0,15,67
7,34,0.459,0,1.7,0,9,27
5,32,6.45,1,15,0,5,43
23,42,6.336,0,9.6,0,18,66
0,24,2.254,1,16.1,0,3,14
9,34,3.648,0,7.6,0,16,48
2,26,1.504,0,4.7,0,10,32
9,30,13.668,0,20.1,0,12,68
3,32,4.56,1,28.5,0,4,16
18,38,1.425,0,5.7,1,13,25
24,43,3.145,0,8.5,0,10,37
8,31,7.155,0,13.5,0,9,53
18,37,21.279,0,17.3,1,10,123
11,37,4.34,1,21.7,0,4,20
11,41,22.79,1,26.5,1,12,86
4,32,0.6,1,3,0,0,20
1,22,3.15,1,9,0,0,35
3,32,11.466,0,18.2,0,12,63
23,47,3.895,0,9.5,0,17,41
21,40,2.852,0,6.2,0,21,46
1,31,1.474,0,6.7,0,8,22
0,34,0.594,0,2.2,1,7,27
17,52,18.018,0,7.7,1,13,234
2,28,0.425,1,2.5,0,2,17
18,38,8.442,0,13.4,1,15,63
4,33,0.806,0,3.1,0,10,26
12,39,2.112,0,6.6,0,9,32
11,47,4.6,0,4,1,23,115
8,36,0.637,0,1.3,0,11,49
2,29,11.424,1,13.6,1,7,84
10,48,9.735,1,16.5,1,14,59
18,38,3.712,0,5.8,1,12,64
26,46,0.645,0,4.3,0,9,15
4,27,8.358,1,19.9,1,5,42
34,54,9.69,0,8.5,0,18,114
0,27,3.175,1,12.7,1,0,25
0,23,0.272,0,1.6,0,1,17
2,41,12.467,0,13.7,0,23,91
5,24,1.695,1,11.3,0,3,15
0,28,6.094,1,27.7,0,9,22
0,26,1.47,0,10.5,0,0,14
0,24,0.952,1,5.6,0,8,17
4,49,5.767,0,7.3,0,22,79
1,28,3.096,0,8.6,0,3,36
17,38,2.34,0,13,0,6,18
9,33,1.665,0,4.5,0,2,37
4,26,1.175,0,4.7,0,8,25
1,36,3.92,0,9.8,0,9,40
14,37,18.3,1,36.6,1,16,50
1,25,6.012,1,33.4,1,0,18
2,29,1.584,0,4.8,0,9,33
4,27,2.622,0,6.9,0,8,38
0,45,9.3,0,15,0,17,62
8,37,3.135,0,5.5,0,9,57
6,29,1.586,1,6.1,0,3,26
1,51,5.808,1,13.2,0,10,44
0,22,1.932,1,8.4,1,0,23
10,30,4.71,0,15.7,1,7,30
2,31,2.46,0,12.3,0,7,20
0,28,2.664,1,14.8,0,2,18
16,35,2.223,0,5.7,0,10,39
1,25,2.89,1,8.5,1,1,34
0,32,4.144,1,14.8,0,5,28
10,33,2.304,0,9.6,0,2,24
4,28,10.291,1,25.1,0,3,41
17,46,3.942,0,5.4,1,4,73
12,41,11.62,0,14,0,24,83
5,42,4.964,0,6.8,0,11,73
13,41,2.35,0,5,1,9,47
5,26,7.453,1,25.7,0,3,29
8,47,10.396,0,9.2,0,27,113
3,29,4.608,1,25.6,0,1,18
14,34,1.692,0,4.7,0,3,36
2,36,2.666,0,6.2,0,7,43
4,38,1.92,0,3,0,7,64
14,41,4.992,1,19.2,0,4,26
23,46,4.278,0,13.8,0,9,31
15,40,9.075,1,16.5,1,3,55
0,44,3.225,0,2.5,0,17,129
15,35,4.056,0,10.4,1,10,39
15,36,3.24,0,5.4,0,20,60
3,28,1.44,1,4.8,0,0,30
7,29,0.918,1,5.1,0,6,18
3,23,2.508,1,11.4,0,3,22
17,41,9.702,0,15.4,0,7,63
1,25,1.311,0,6.9,0,1,19
19,45,1.566,0,5.4,0,2,29
14,48,10.656,0,7.2,0,30,148
7,38,3.15,0,7,0,18,45
4,29,2.484,0,5.4,0,6,46
8,42,6.696,0,3.6,1,15,186
12,31,5.123,0,10.9,0,11,47
13,40,1.587,0,6.9,0,3,23
6,26,4.158,0,19.8,0,2,21
6,25,4.444,0,20.2,0,6,22
11,53,4.819,0,7.9,1,7,61
27,50,14.382,0,14.1,1,18,102
9,47,31.416,1,23.1,0,31,136
0,23,1.764,1,8.4,0,1,21
8,37,3.403,0,4.1,1,12,83
15,41,11.5,0,11.5,0,24,100
7,28,3.857,1,13.3,0,0,29
11,31,12.587,1,30.7,0,7,41
1,41,1.197,0,6.3,0,6,19
17,36,3.96,0,9.9,0,7,40
16,41,0.836,0,4.4,0,1,19
31,53,2.464,0,5.6,0,16,44
5,31,2.875,0,11.5,0,6,25
6,28,0.725,0,2.9,0,5,25
25,48,8.4,0,12,0,28,70
1,23,1.638,1,3.9,0,0,42
6,31,2.312,0,6.8,0,11,34
6,27,2.107,0,4.9,0,6,43
17,43,0.481,0,1.3,0,11,37
7,29,5.236,0,18.7,0,5,28
7,53,1.728,1,6.4,0,6,27
9,38,2.584,0,13.6,0,4,19
10,30,3.23,0,8.5,0,12,38
0,28,1.88,1,9.4,1,2,20
2,36,10.725,0,32.5,0,11,33
5,48,1.26,0,2.1,0,15,60
9,31,1.584,0,6.6,0,12,24
10,35,5.985,0,10.5,0,16,57
4,50,2.875,0,12.5,0,4,23
9,42,8.25,0,15,0,12,55
3,40,1.988,0,7.1,0,2,28
13,37,0.279,1,0.9,0,0,31
8,31,1.512,0,2.8,1,6,54
13,38,2.8,0,8,0,11,35
1,35,8.162,0,10.6,0,15,77
10,44,5.656,0,5.6,0,24,101
14,44,14.916,0,13.2,0,21,113
12,33,0.207,0,0.9,0,0,23
14,35,1.421,0,4.9,0,7,29
4,36,5.59,0,13,1,10,43
4,23,1.512,0,6.3,0,3,24
7,27,2.304,0,12.8,0,0,18
1,34,0.24,0,1.2,0,6,20
5,35,3.774,1,11.1,0,0,34
4,24,0.74,0,3.7,0,4,20
8,48,6.464,0,6.4,0,30,101
1,26,4.72,0,11.8,0,8,40
9,40,0.756,1,2.1,0,6,36
8,34,4.464,0,9.3,0,9,48
4,35,1.26,0,3,0,17,42
2,30,8.382,1,25.4,0,7,33
0,20,1.358,1,9.7,0,4,14
17,36,3.45,0,11.5,1,1,30
1,21,1.008,0,6.3,0,1,16
10,34,5.565,0,10.5,0,18,53
5,35,6.279,1,16.1,0,7,39
4,35,1.58,0,7.9,1,1,20
1,34,3.399,1,10.3,0,10,33
12,33,7.344,0,10.8,0,12,68
2,30,1.926,0,10.7,0,4,18
5,24,1.168,0,7.3,0,0,16
8,47,18.216,0,7.2,0,31,253
26,53,7.803,1,28.9,0,0,27
2,22,0.94,0,4.7,1,0,20
1,48,7.986,0,12.1,0,6,66
15,36,1.242,1,4.6,0,6,27
4,29,2.415,0,11.5,0,6,21
3,33,2.432,0,7.6,0,15,32
22,45,6.468,0,8.4,0,19,77
14,37,6.468,0,14.7,0,12,44
13,36,3.488,NA,10.9,0,16,32
27,50,2.709,NA,12.9,0,6,21
