shortnam	logmort0	risk	loggdp	campaign	source0	slave	latitude	neoeuro	asia	africa	other	edes1975	campaignsj	campaignsj2	mortnaval1	logmortnaval1	mortnaval2	logmortnaval2	mortjam	logmortjam	logmortcap250	logmortjam250	wandcafrica	malfal94	wacacontested	mortnaval2250	logmortnaval2250	mortnaval1250	logmortnaval1250
CRI	4.357990265	7.050000191	8.789999962	1	0	0	0.111100003	0	0	0	0	20	1	1	NA	NA	93.25	4.535284042	62.20000076	4.130354881	4.357990265	4.130354881	0	0	0	93.25	4.535284042	NA	NA
DOM	4.867534637	6.179999828	8.359999657	0	0	0	0.211099997	0	0	0	0	25	0	0	130	4.867534637	130	4.867534637	130	4.867534637	4.867534637	4.867534637	0	0	0	130	4.867534637	130	4.867534637
DZA	4.359269619	6.5	8.390000343	1	1	0	0.311100006	0	0	1	0	0	1	1	78.19999695	4.359269619	78.19999695	4.359269619	78.19999695	4.359269619	4.359269619	4.359269619	0	0	0	78.19999695	4.359269619	78.19999695	4.359269619
ECU	4.262680054	6.550000191	8.470000267	1	0	0	0.0222	0	0	0	0	30.00000191	1	1	NA	NA	93.25	4.535284042	56.5	4.034240723	4.262680054	4.034240723	0	0.118949994	0	93.25	4.535284042	NA	NA
EGY	4.216562271	6.769999981	7.949999809	1	1	0	0.300000012	0	0	1	0	0	1	1	67.80000305	4.216562271	67.80000305	4.216562271	67.80000305	4.216562271	4.216562271	4.216562271	0	0	0	67.80000305	4.216562271	67.80000305	4.216562271
ETH	3.258096457	5.730000019	6.110000134	1	1	0	0.0889	0	0	1	0	0	1	1	26	3.258096457	26	3.258096457	26	3.258096457	3.258096457	3.258096457	1	0.550999999	0	26	3.258096457	26	3.258096457
GAB	5.634789467	7.820000172	8.899999619	1	0	0	0.0111	0	0	1	0	0	1	1	280	5.634789467	280	5.634789467	280	5.634789467	5.52146101	5.52146101	1	0.940500021	1	250	5.52146101	250	5.52146101
GHA	6.504288197	6.269999981	7.369999886	1	1	0	0.0889	0	0	1	0	0	1	1	668	6.504288197	668	6.504288197	668	6.504288197	5.52146101	5.52146101	1	0.949999988	0	250	5.52146101	250	5.52146101
GIN	6.180016518	6.550000191	7.489999771	1	0	0	0.122199997	0	0	1	0	0	1	1	483	6.180016518	483	6.180016518	483	6.180016518	5.52146101	5.52146101	1	0.949999988	1	250	5.52146101	250	5.52146101
GMB	7.293017864	8.270000458	7.269999981	1	1	0	0.147599995	0	0	1	0	0	1	1	1470	7.293017864	1470	7.293017864	1470	7.293017864	5.52146101	5.52146101	1	0.949999988	0	250	5.52146101	250	5.52146101
GTM	4.262680054	5.139999866	8.289999962	1	0	0	0.170000002	0	0	0	0	20	1	1	NA	NA	93.25	4.535284042	56.5	4.034240723	4.262680054	4.034240723	0	0.0036	0	93.25	4.535284042	NA	NA
GUY	3.471345186	5.889999866	7.900000095	0	0	0	0.055599999	0	0	0	0	2	0	0	32.18000031	3.471345186	32.18000031	3.471345186	32.18000031	3.471345186	3.471345186	3.471345186	0	0.495030016	0	32.18000031	3.471345186	32.18000031	3.471345186
HKG	2.701361179	8.140000343	10.05000019	0	0	0	0.246099994	0	1	0	0	0	1	1	14.89999962	2.701361179	14.89999962	2.701361179	14.89999962	2.701361179	2.701361179	2.701361179	0	0	0	14.89999962	2.701361179	14.89999962	2.701361179
HND	4.357990265	5.320000172	7.690000057	1	0	0	0.166700006	0	0	0	0	20	1	1	NA	NA	93.25	4.535284042	62.20000076	4.130354881	4.357990265	4.130354881	0	0.012	0	93.25	4.535284042	NA	NA
HTI	4.867534637	3.730000019	7.150000095	0	0	0	0.211099997	0	0	0	0	0	0	0	130	4.867534637	130	4.867534637	130	4.867534637	4.867534637	4.867534637	0	1	0	130	4.867534637	130	4.867534637
IDN	5.135798454	7.590000153	7.329999924	1	1	0	0.055599999	0	1	0	0	0	1	1	170	5.135798454	170	5.135798454	170	5.135798454	5.135798454	5.135798454	0	0.178729996	0	170	5.135798454	170	5.135798454
IND	3.884240627	8.270000458	7.329999924	0	1	0	0.222200006	0	1	0	0	0	0	0	48.63000107	3.884240627	48.63000107	3.884240627	48.63000107	3.884240627	3.884240627	3.884240627	0	0.235960007	0	48.63000107	3.884240627	48.63000107	3.884240627
JAM	4.867534637	7.090000153	8.18999958	0	1	0	0.201700002	0	0	0	0	10	0	1	130	4.867534637	130	4.867534637	130	4.867534637	4.867534637	4.867534637	0	0	0	130	4.867534637	130	4.867534637
KEN	4.976733685	6.050000191	7.059999943	0	1	1	0.0111	0	0	1	0	0	0	0	145	4.976733685	145	4.976733685	145	4.976733685	4.976733685	4.976733685	1	0.797999978	0	145	4.976733685	145	4.976733685
LKA	4.245634079	6.050000191	7.730000019	0	1	0	0.077799998	0	1	0	0	0	0	1	69.80000305	4.245634079	69.80000305	4.245634079	69.80000305	4.245634079	4.245634079	4.245634079	0	0.137999997	0	69.80000305	4.245634079	69.80000305	4.245634079
MAR	4.359269619	7.090000153	8.039999962	1	0	0	0.355599999	0	0	1	0	1	1	1	78.19999695	4.359269619	78.19999695	4.359269619	78.19999695	4.359269619	4.359269619	4.359269619	0	0	0	78.19999695	4.359269619	78.19999695	4.359269619
MDG	6.284208775	4.449999809	6.840000153	1	1	0	0.222200006	0	0	1	0	0	1	1	536.039978	6.284208775	536.039978	6.284208775	536.039978	6.284208775	5.52146101	5.52146101	1	0.949999988	0	250	5.52146101	250	5.52146101
MEX	4.262680054	7.5	8.93999958	1	1	0	0.255600005	0	0	0	0	15.00000095	1	1	71	4.262680054	71	4.262680054	71	4.262680054	4.262680054	4.262680054	0	0.00042	0	71	4.262680054	71	4.262680054
MLI	7.986165047	4	6.570000172	1	1	0	0.188899994	0	0	1	0	0	1	1	2940	7.986165047	2940	7.986165047	2940	7.986165047	5.52146101	5.52146101	1	0.940500021	0	250	5.52146101	250	5.52146101
MLT	2.791165113	7.230000019	9.430000305	0	1	0	0.394400001	0	0	0	1	100	0	0	16.29999924	2.791165113	16.29999924	2.791165113	16.29999924	2.791165113	2.791165113	2.791165113	0	NA	0	16.29999924	2.791165113	16.29999924	2.791165113
MYS	2.87356472	7.949999809	8.890000343	0	1	0	0.025599999	0	1	0	0	0	0	1	17.70000076	2.87356472	17.70000076	2.87356472	17.70000076	2.87356472	2.87356472	2.87356472	0	0.233309999	0	17.70000076	2.87356472	17.70000076	2.87356472
NER	5.991464615	5	6.730000019	1	0	0	0.1778	0	0	1	0	0	1	1	400	5.991464615	400	5.991464615	400	5.991464615	5.52146101	5.52146101	1	0.940500021	1	250	5.52146101	250	5.52146101
NGA	7.602900505	5.550000191	6.809999943	1	1	0	0.111100003	0	0	1	0	0	1	1	2004	7.602900505	2004	7.602900505	2004	7.602900505	5.52146101	5.52146101	1	0.949999988	0	250	5.52146101	250	5.52146101
NIC	5.095589161	5.230000019	7.539999962	1	0	0	0.144400001	0	0	0	0	20	1	1	NA	NA	93.25	4.535284042	130	4.867534637	5.095589161	4.867534637	0	0.044	0	93.25	4.535284042	NA	NA
NZL	2.145931244	9.729999542	9.760000229	0	1	0	0.455599993	1	0	0	1	91.69999695	1	1	8.550000191	2.145931244	8.550000191	2.145931244	8.550000191	2.145931244	2.145931244	2.145931244	0	0	0	8.550000191	2.145931244	8.550000191	2.145931244
PAK	3.610647678	6.050000191	7.349999905	1	0	0	0.333299994	0	1	0	0	0	1	1	36.99000168	3.610647678	36.99000168	3.610647678	36.99000168	3.610647678	3.610647678	3.610647678	0	0.53757	0	36.99000168	3.610647678	36.99000168	3.610647678
PAN	5.095589161	5.909999847	8.840000153	1	0	0	0.100000001	0	0	0	0	20	1	1	15.06999969	2.712706089	30.5	3.417726755	130	4.867534637	5.095589161	4.867534637	0	0.08004	0	30.5	3.417726755	15.06999969	2.712706089
PER	4.262680054	5.769999981	8.399999619	1	0	0	0.111100003	0	0	0	0	30.00000191	1	1	15.06999969	2.712706089	30.5	3.417726755	56.5	4.034240723	4.262680054	4.034240723	0	0.0005	0	30.5	3.417726755	15.06999969	2.712706089
PRY	4.357990265	6.949999809	8.210000038	1	0	0	0.255600005	0	0	0	0	25	1	1	NA	NA	93.25	4.535284042	62.20000076	4.130354881	4.357990265	4.130354881	0	0	0	93.25	4.535284042	NA	NA
SDN	4.479607105	4	7.309999943	1	1	0	0.166700006	0	0	1	0	0	1	1	88.19999695	4.479607105	88.19999695	4.479607105	88.19999695	4.479607105	4.479607105	4.479607105	1	0.930999994	0	88.19999695	4.479607105	88.19999695	4.479607105
SEN	5.10388279	6	7.400000095	0	1	0	0.155599996	0	0	1	0	0	0	1	164.6600037	5.10388279	164.6600037	5.10388279	164.6600037	5.10388279	5.10388279	5.10388279	1	0.949999988	0	164.6600037	5.10388279	164.6600037	5.10388279
SGP	2.87356472	9.319999695	10.14999962	0	0	0	0.0136	0	1	0	0	0	0	1	17.70000076	2.87356472	17.70000076	2.87356472	17.70000076	2.87356472	2.87356472	2.87356472	0	0	0	17.70000076	2.87356472	17.70000076	2.87356472
SLE	6.180016518	5.820000172	6.25	1	1	0	0.092200004	0	0	1	0	0	1	1	483	6.180016518	483	6.180016518	483	6.180016518	5.52146101	5.52146101	1	0.949999988	0	250	5.52146101	250	5.52146101
SLV	4.357990265	5	7.949999809	1	0	0	0.150000006	0	0	0	0	20	1	1	NA	NA	93.25	4.535284042	62.20000076	4.130354881	4.357990265	4.130354881	0	0	0	93.25	4.535284042	NA	NA
TGO	6.504288197	6.909999847	7.21999979	1	0	0	0.0889	0	0	1	0	0	1	1	668	6.504288197	668	6.504288197	668	6.504288197	5.52146101	5.52146101	1	0.949999988	1	250	5.52146101	250	5.52146101
TTO	4.442651272	7.449999809	8.770000458	0	1	0	0.122199997	0	0	0	0	40	0	1	85	4.442651272	85	4.442651272	85	4.442651272	4.442651272	4.442651272	0	0	0	85	4.442651272	85	4.442651272
TUN	4.143134594	6.449999809	8.479999542	1	1	0	0.377799988	0	0	1	0	0	1	1	63	4.143134594	63	4.143134594	63	4.143134594	4.143134594	4.143134594	0	0	0	63	4.143134594	63	4.143134594
TZA	4.976733685	6.639999866	6.25	0	0	1	0.066699997	0	0	1	0	0	0	0	145	4.976733685	145	4.976733685	145	4.976733685	4.976733685	4.976733685	1	0.921500027	1	145	4.976733685	145	4.976733685
UGA	5.634789467	4.449999809	6.96999979	1	0	0	0.0111	0	0	1	0	0	1	1	280	5.634789467	280	5.634789467	280	5.634789467	5.52146101	5.52146101	1	0.949999988	1	250	5.52146101	250	5.52146101
URY	4.262680054	7	9.029999733	1	0	0	0.366699994	0	0	0	0	90	1	1	NA	NA	93.25	4.535284042	56.5	4.034240723	4.262680054	4.034240723	0	0	0	93.25	4.535284042	NA	NA
USA	2.708050251	10	10.22000027	0	1	0	0.422199994	1	0	0	0	83.6000061	0	1	15	2.708050251	15	2.708050251	15	2.708050251	2.708050251	2.708050251	0	0	0	15	2.708050251	15	2.708050251
VEN	4.357990265	7.139999866	9.069999695	1	0	0	0.0889	0	0	0	0	20	1	1	NA	NA	93.25	4.535284042	62.20000076	4.130354881	4.357990265	4.130354881	0	0.00704	0	93.25	4.535284042	NA	NA
VNM	4.941642284	6.409999847	7.28000021	1	1	0	0.1778	0	1	0	0	0	1	1	140	4.941642284	140	4.941642284	140	4.941642284	4.941642284	4.941642284	0	0.701099992	0	140	4.941642284	140	4.941642284
ZAF	2.740839958	6.860000134	8.890000343	0	1	0	0.3222	0	0	1	0	16	0	1	15.5	2.740839958	15.5	2.740839958	15.5	2.740839958	2.740839958	2.740839958	0	0.104499996	0	15.5	2.740839958	15.5	2.740839958
ZAR	5.480638981	3.5	6.869999886	0	0	1	0	0	0	1	0	0	0	0	240	5.480638981	240	5.480638981	240	5.480638981	5.480638981	5.480638981	1	0.949999988	1	240	5.480638981	240	5.480638981
